cycle,range_bin,doppler_bin,output_hex
1098385000,0,0,ffa1fe75
1098395000,0,1,feec00ef
1098405000,0,2,00b5fd7c
1098415000,0,3,005b047e
1098425000,0,4,ffb5fc67
1098435000,0,5,ffee01a3
1098445000,0,6,ffb1fec7
1098455000,0,7,027c01a8
1098465000,0,8,fd90fe34
1098475000,0,9,001e00d9
1098485000,0,10,0090004a
1098495000,0,11,ff38ff6f
1098505000,0,12,007cffbe
1098515000,0,13,ff5f0056
1098525000,0,14,010fffd1
1098535000,0,15,feed0037
1098545000,0,16,0191febf
1098555000,0,17,fd2001ef
1098565000,0,18,01fbfffa
1098575000,0,19,ffedff30
1098585000,0,20,ff39008b
1098595000,0,21,00a8011b
1098605000,0,22,ffc9feb5
1098615000,0,23,ff900020
1098625000,0,24,0156fffc
1098635000,0,25,fff6ff7d
1098645000,0,26,ff880140
1098655000,0,27,001cfee7
1098665000,0,28,ff9e000c
1098675000,0,29,013300c8
1098685000,0,30,fe2ffec3
1098695000,0,31,018301bd
1103765000,1,0,0100007e
1103775000,1,1,00640058
1103785000,1,2,fddaff41
1103795000,1,3,02b000b8
1103805000,1,4,ff420018
1103815000,1,5,ffc7ff39
1103825000,1,6,ff5c0081
1103835000,1,7,0125fff1
1103845000,1,8,ffcc0071
1103855000,1,9,fe98ff37
1103865000,1,10,014a0043
1103875000,1,11,ffac0095
1103885000,1,12,00a6ffb6
1103895000,1,13,fde1ffa5
1103905000,1,14,01c9007c
1103915000,1,15,ff990027
1103925000,1,16,0158fee4
1103935000,1,17,fe9e00fa
1103945000,1,18,007200c1
1103955000,1,19,fffefef2
1103965000,1,20,ffc8ff62
1103975000,1,21,ffc701bb
1103985000,1,22,01bcff2f
1103995000,1,23,fe67ff0b
1104005000,1,24,006c00fd
1104015000,1,25,ffd6fd5f
1104025000,1,26,ffd6034b
1104035000,1,27,ffd2fe55
1104045000,1,28,008800a8
1104055000,1,29,ff81ffa7
1104065000,1,30,00db015c
1104075000,1,31,fe5ffe61
1109145000,2,0,008300fe
1109155000,2,1,ffbcff8f
1109165000,2,2,ff4400e6
1109175000,2,3,00c8ffd4
1109185000,2,4,ff63fef1
1109195000,2,5,ffe40122
1109205000,2,6,0005ff5c
1109215000,2,7,0195ffa8
1109225000,2,8,fce80157
1109235000,2,9,01f8ff22
1109245000,2,10,ff7effe7
1109255000,2,11,011b00c8
1109265000,2,12,fe86ffe2
1109275000,2,13,00a4001f
1109285000,2,14,00b00071
1109295000,2,15,ff3fff81
1109305000,2,16,019700ae
1109315000,2,17,fdfafd4f
1109325000,2,18,01a80234
1109335000,2,19,fe92ff4a
1109345000,2,20,0149ffd5
1109355000,2,21,ff76ffb0
1109365000,2,22,ff210078
1109375000,2,23,0153ff9c
1109385000,2,24,ffa2012d
1109395000,2,25,ff32fe04
1109405000,2,26,ff6e0347
1109415000,2,27,0163fd22
1109425000,2,28,feca0140
1109435000,2,29,012afee3
1109445000,2,30,00b2021b
1109455000,2,31,fef9fd9b
1114525000,3,0,ffc3fffb
1114535000,3,1,01a4ff94
1114545000,3,2,fdde00ae
1114555000,3,3,00f8fed0
1114565000,3,4,00470100
1114575000,3,5,0048ff6e
1114585000,3,6,fe4e0073
1114595000,3,7,019e004d
1114605000,3,8,ffcafdfa
1114615000,3,9,00270226
1114625000,3,10,ffa7fece
1114635000,3,11,002d0192
1114645000,3,12,0054fdda
1114655000,3,13,ffa001c4
1114665000,3,14,ff87febb
1114675000,3,15,013901cd
1114685000,3,16,fe91fd75
1114695000,3,17,0092009c
1114705000,3,18,0006005c
1114715000,3,19,00c2ffb0
1114725000,3,20,ff65ffbe
1114735000,3,21,fe6001ae
1114745000,3,22,025efe23
1114755000,3,23,fe4200ff
1114765000,3,24,01320026
1114775000,3,25,fe2fff6a
1114785000,3,26,0095000c
1114795000,3,27,0085019a
1114805000,3,28,ffc8fe90
1114815000,3,29,ff9c00e8
1114825000,3,30,02e5ff13
1114835000,3,31,fdbb00b3
1119905000,4,0,0033014f
1119915000,4,1,0097ff75
1119925000,4,2,fe54fff3
1119935000,4,3,021a0102
1119945000,4,4,ff38fe0b
1119955000,4,5,00220199
1119965000,4,6,ffbcff46
1119975000,4,7,013201d5
1119985000,4,8,fed7fc8e
1119995000,4,9,00b40337
1120005000,4,10,feb7fdfb
1120015000,4,11,00c100bc
1120025000,4,12,0012fe7e
1120035000,4,13,feff0157
1120045000,4,14,0073ffc8
1120055000,4,15,0061002c
1120065000,4,16,0037ff89
1120075000,4,17,fe710089
1120085000,4,18,01ac0057
1120095000,4,19,ff660000
1120105000,4,20,ff5a0083
1120115000,4,21,ffa4ffd9
1120125000,4,22,0204fecc
1120135000,4,23,ff72013f
1120145000,4,24,ff0fff7a
1120155000,4,25,00d8ff9f
1120165000,4,26,ff81005f
1120175000,4,27,00f7005a
1120185000,4,28,febcff6c
1120195000,4,29,019700f3
1120205000,4,30,ffc5003a
1120215000,4,31,fef3fe08
1125285000,5,0,ff1efe76
1125295000,5,1,ff7201cc
1125305000,5,2,ff9dfed6
1125315000,5,3,0201ff9d
1125325000,5,4,fe820103
1125335000,5,5,0073ff7c
1125345000,5,6,ffdaff5c
1125355000,5,7,00860120
1125365000,5,8,fffefea6
1125375000,5,9,fef600bf
1125385000,5,10,014efec9
1125395000,5,11,fef00273
1125405000,5,12,00f1fced
1125415000,5,13,fd9f021f
1125425000,5,14,01adff4b
1125435000,5,15,ff94009f
1125445000,5,16,0036fdfe
1125455000,5,17,fef202d4
1125465000,5,18,0111fe74
1125475000,5,19,feb30061
1125485000,5,20,0218007d
1125495000,5,21,fe470066
1125505000,5,22,014600b6
1125515000,5,23,ffa0feb2
1125525000,5,24,ff5eff6a
1125535000,5,25,009a0075
1125545000,5,26,00ec0175
1125555000,5,27,fe28fe73
1125565000,5,28,0145002f
1125575000,5,29,006b007b
1125585000,5,30,ff3bff9b
1125595000,5,31,015200bb
1130665000,6,0,fe49ffb1
1130675000,6,1,00e300f8
1130685000,6,2,febb004f
1130695000,6,3,02e4fd86
1130705000,6,4,fcee035c
1130715000,6,5,007bfdc3
1130725000,6,6,00d70058
1130735000,6,7,ffc90022
1130745000,6,8,ffcdff8e
1130755000,6,9,ffc10020
1130765000,6,10,0143004a
1130775000,6,11,fe80003a
1130785000,6,12,00970033
1130795000,6,13,ffc60003
1130805000,6,14,001effcb
1130815000,6,15,009affb9
1130825000,6,16,fe9bff9d
1130835000,6,17,0193008a
1130845000,6,18,fef5ff57
1130855000,6,19,ffee0044
1130865000,6,20,0140003a
1130875000,6,21,ff09ffb3
1130885000,6,22,00290148
1130895000,6,23,ff2dfe2c
1130905000,6,24,005700ac
1130915000,6,25,ffadffea
1130925000,6,26,000501c0
1130935000,6,27,ffd2fe58
1130945000,6,28,011b0047
1130955000,6,29,ffa2ff83
1130965000,6,30,ffc2033d
1130975000,6,31,01bcfd25
1136045000,7,0,ff90fefd
1136055000,7,1,01300094
1136065000,7,2,fda5fe22
1136075000,7,3,02570347
1136085000,7,4,ff82fdb4
1136095000,7,5,ffdb0170
1136105000,7,6,fef0ff62
1136115000,7,7,02e8008c
1136125000,7,8,feafff67
1136135000,7,9,ff7400e4
1136145000,7,10,0072fe8a
1136155000,7,11,ff63015f
1136165000,7,12,00b2fecd
1136175000,7,13,ffc30059
1136185000,7,14,0099001d
1136195000,7,15,ffa200f0
1136205000,7,16,ffe6fd73
1136215000,7,17,ffce020a
1136225000,7,18,0107fed6
1136235000,7,19,fe9901d1
1136245000,7,20,003afecc
1136255000,7,21,01a1fffa
1136265000,7,22,fe08ffd0
1136275000,7,23,0084fff4
1136285000,7,24,00c70045
1136295000,7,25,ff8eff6e
1136305000,7,26,ffb6008e
1136315000,7,27,ff9dff51
1136325000,7,28,00fe0107
1136335000,7,29,ff61fead
1136345000,7,30,00a30091
1136355000,7,31,ff020108
1141425000,8,0,ff9bff04
1141435000,8,1,009f0094
1141445000,8,2,fe53fe9d
1141455000,8,3,02150234
1141465000,8,4,ffbcfda7
1141475000,8,5,fe3f0188
1141485000,8,6,0041fee6
1141495000,8,7,025701c3
1141505000,8,8,fdc8fe82
1141515000,8,9,0038017b
1141525000,8,10,0010fe77
1141535000,8,11,00af020d
1141545000,8,12,fee8fee5
1141555000,8,13,00e5ffa2
1141565000,8,14,003c00a6
1141575000,8,15,00b4002b
1141585000,8,16,ffe3fda4
1141595000,8,17,fdd102c0
1141605000,8,18,02b7fec5
1141615000,8,19,fe530070
1141625000,8,20,012afeb1
1141635000,8,21,fe0502aa
1141645000,8,22,024bfdc8
1141655000,8,23,fe7d005f
1141665000,8,24,00a2ff06
1141675000,8,25,ffe00161
1141685000,8,26,ff36ffe7
1141695000,8,27,00dd0003
1141705000,8,28,ffaaff33
1141715000,8,29,0057008c
1141725000,8,30,ffe800bc
1141735000,8,31,001cffff
1146805000,9,0,01ae0056
1146815000,9,1,fea6ff54
1146825000,9,2,009300b0
1146835000,9,3,005fff43
1146845000,9,4,ffa2fedd
1146855000,9,5,004c01a4
1146865000,9,6,005dff89
1146875000,9,7,ffa9ff84
1146885000,9,8,ff130002
1146895000,9,9,016900fd
1146905000,9,10,fdebfee1
1146915000,9,11,017500d7
1146925000,9,12,fef7ffa7
1146935000,9,13,00640043
1146945000,9,14,0000fee1
1146955000,9,15,00c60184
1146965000,9,16,0070ff74
1146975000,9,17,fdfe0008
1146985000,9,18,01d7fe64
1146995000,9,19,ff0702f1
1147005000,9,20,0086fe4d
1147015000,9,21,fe72005e
1147025000,9,22,0159ffbf
1147035000,9,23,ff0f014c
1147045000,9,24,0103fd8c
1147055000,9,25,ff4f00ff
1147065000,9,26,ff9f01af
1147075000,9,27,00ddff21
1147085000,9,28,0045ff9f
1147095000,9,29,ff1200fb
1147105000,9,30,027effbb
1147115000,9,31,fd7aff98
1152185000,10,0,ff95fe00
1152195000,10,1,00640193
1152205000,10,2,0010fe2a
1152215000,10,3,ffaa02b2
1152225000,10,4,0014fdd9
1152235000,10,5,ff540067
1152245000,10,6,0053ffca
1152255000,10,7,00f200ad
1152265000,10,8,ffb2ffc5
1152275000,10,9,fe710036
1152285000,10,10,0210005f
1152295000,10,11,ff3cfff6
1152305000,10,12,00b70009
1152315000,10,13,fe58ff53
1152325000,10,14,021f0096
1152335000,10,15,ff06005f
1152345000,10,16,00e7fe74
1152355000,10,17,feacffd9
1152365000,10,18,00c6011e
1152375000,10,19,0008ff04
1152385000,10,20,ff84ff3d
1152395000,10,21,00160343
1152405000,10,22,0017fe08
1152415000,10,23,ff60feeb
1152425000,10,24,006200ef
1152435000,10,25,001bfff6
1152445000,10,26,fede00e9
1152455000,10,27,00f2ff3c
1152465000,10,28,0029ff91
1152475000,10,29,ff7a01cb
1152485000,10,30,015bfe00
1152495000,10,31,ff4001f1
1157565000,11,0,003c0047
1157575000,11,1,fff60041
1157585000,11,2,ff38ff7c
1157595000,11,3,0192017a
1157605000,11,4,feebfee5
1157615000,11,5,00a8fff0
1157625000,11,6,ffe9fff9
1157635000,11,7,00080146
1157645000,11,8,0090fddc
1157655000,11,9,fff10114
1157665000,11,10,0035fff0
1157675000,11,11,ff3b0024
1157685000,11,12,01a6fed9
1157695000,11,13,fda90141
1157705000,11,14,00b0fef5
1157715000,11,15,000500bc
1157725000,11,16,011cfe5d
1157735000,11,17,fd7001ad
1157745000,11,18,0172ff04
1157755000,11,19,003800c4
1157765000,11,20,ffdfff25
1157775000,11,21,ff0602ca
1157785000,11,22,01ebfda1
1157795000,11,23,fe6e00ac
1157805000,11,24,00c4ffc4
1157815000,11,25,ffa5fece
1157825000,11,26,00450244
1157835000,11,27,ff2bfe7e
1157845000,11,28,00b4ffd9
1157855000,11,29,ff7d00cd
1157865000,11,30,0198ffed
1157875000,11,31,fe75ffaa
1162945000,12,0,00b3015d
1162955000,12,1,ffd90065
1162965000,12,2,fe45fdc3
1162975000,12,3,035301d1
1162985000,12,4,fe06ff70
1162995000,12,5,006e004d
1163005000,12,6,ff67ff6a
1163015000,12,7,00e201b3
1163025000,12,8,ffd9fdca
1163035000,12,9,ff1f016c
1163045000,12,10,00b4ffa8
1163055000,12,11,ffe2003e
1163065000,12,12,0008fe74
1163075000,12,13,ff46017f
1163085000,12,14,0145ff4d
1163095000,12,15,fe5b00cc
1163105000,12,16,0249fe9d
1163115000,12,17,fd1100cd
1163125000,12,18,0223003f
1163135000,12,19,ff2d0009
1163145000,12,20,feeaff28
1163155000,12,21,01880269
1163165000,12,22,ffc5fe7c
1163175000,12,23,ff0efff5
1163185000,12,24,001f0030
1163195000,12,25,0183ff6e
1163205000,12,26,ff38010e
1163215000,12,27,fff2007c
1163225000,12,28,0074fe98
1163235000,12,29,ff8000ef
1163245000,12,30,027b00ed
1163255000,12,31,fd79fd58
1168325000,13,0,ff0f0088
1168335000,13,1,0070ffa8
1168345000,13,2,fe50ff96
1168355000,13,3,03a700d4
1168365000,13,4,fd99006a
1168375000,13,5,00b3fea7
1168385000,13,6,00070064
1168395000,13,7,ffd70140
1168405000,13,8,006dfe9f
1168415000,13,9,feb7ffee
1168425000,13,10,00b0002e
1168435000,13,11,00cc0097
1168445000,13,12,fdbdfe85
1168455000,13,13,0197016d
1168465000,13,14,ff5cfe8f
1168475000,13,15,00d5019e
1168485000,13,16,0085fe58
1168495000,13,17,fe360186
1168505000,13,18,fff6fffa
1168515000,13,19,0113000e
1168525000,13,20,ff11ff08
1168535000,13,21,ff2b0177
1168545000,13,22,0277ffc8
1168555000,13,23,fe61ff50
1168565000,13,24,009f0001
1168575000,13,25,0133ffb8
1168585000,13,26,fe92013e
1168595000,13,27,005eff93
1168605000,13,28,0059ff81
1168615000,13,29,002b00c1
1168625000,13,30,ff2eff91
1168635000,13,31,00efff66
1173705000,14,0,ff4fff65
1173715000,14,1,ffa4010e
1173725000,14,2,001afedc
1173735000,14,3,01500137
1173745000,14,4,fddffef9
1173755000,14,5,00a301ec
1173765000,14,6,ff62fe54
1173775000,14,7,0213ffd5
1173785000,14,8,fe02009c
1173795000,14,9,00fbfff8
1173805000,14,10,ffbcff98
1173815000,14,11,00000156
1173825000,14,12,0008ff1e
1173835000,14,13,00b50166
1173845000,14,14,ffc0fdcd
1173855000,14,15,ffae0267
1173865000,14,16,0189fcdb
1173875000,14,17,fd460294
1173885000,14,18,0218fe08
1173895000,14,19,fffc0121
1173905000,14,20,ff39ff43
1173915000,14,21,ffdffffc
1173925000,14,22,006a0030
1173935000,14,23,ff9700a5
1173945000,14,24,00defecc
1173955000,14,25,fe930026
1173965000,14,26,00820270
1173975000,14,27,ffecfdf6
1173985000,14,28,ffd0ff1e
1173995000,14,29,00f10182
1174005000,14,30,ff1cffe3
1174015000,14,31,0110ffab
1179085000,15,0,ffadfd2d
1179095000,15,1,fe85010a
1179105000,15,2,018bff5f
1179115000,15,3,ffc50269
1179125000,15,4,ffb3fd50
1179135000,15,5,0015026b
1179145000,15,6,0076fdd7
1179155000,15,7,009402bb
1179165000,15,8,ff7efce0
1179175000,15,9,ffd30214
1179185000,15,10,ff3c0088
1179195000,15,11,0138fe65
1179205000,15,12,002cff69
1179215000,15,13,fef601f5
1179225000,15,14,00afff3d
1179235000,15,15,0096ff3c
1179245000,15,16,ffa90075
1179255000,15,17,ff59009a
1179265000,15,18,00d3ff11
1179275000,15,19,ffa500bd
1179285000,15,20,ffdfff1c
1179295000,15,21,fff90129
1179305000,15,22,fff0ff2f
1179315000,15,23,00ae006d
1179325000,15,24,ff44fe56
1179335000,15,25,010f017c
1179345000,15,26,fefeffb8
1179355000,15,27,003effe1
1179365000,15,28,fec20023
1179375000,15,29,0284ffcb
1179385000,15,30,fddbfeed
1179395000,15,31,00e002f8
1184465000,16,0,ffc2ff76
1184475000,16,1,fe4e013c
1184485000,16,2,01b1fe25
1184495000,16,3,ffd701f5
1184505000,16,4,00b8fde2
1184515000,16,5,feb20278
1184525000,16,6,00cbfe13
1184535000,16,7,01480133
1184545000,16,8,fe6cfe8e
1184555000,16,9,ffcb012f
1184565000,16,10,00f6ff1d
1184575000,16,11,fff8009a
1184585000,16,12,ff46ff8c
1184595000,16,13,ff85004a
1184605000,16,14,00baff88
1184615000,16,15,ffdd0017
1184625000,16,16,0144fe26
1184635000,16,17,fd0003fc
1184645000,16,18,02e1fd5b
1184655000,16,19,fdc10033
1184665000,16,20,0158013e
1184675000,16,21,fea6ffde
1184685000,16,22,018bffc3
1184695000,16,23,fed20065
1184705000,16,24,00f2fe4a
1184715000,16,25,001b00c1
1184725000,16,26,ffb000c7
1184735000,16,27,ffa4ffa6
1184745000,16,28,0016fff0
1184755000,16,29,014fffe8
1184765000,16,30,fe08001e
1184775000,16,31,01550049
1189845000,17,0,00e70092
1189855000,17,1,ff0e0086
1189865000,17,2,009300c8
1189875000,17,3,ff61fda6
1189885000,17,4,0011013c
1189895000,17,5,0091ffea
1189905000,17,6,ffe2ff0d
1189915000,17,7,00e300a2
1189925000,17,8,fdf80057
1189935000,17,9,0114ff17
1189945000,17,10,ff9f00b6
1189955000,17,11,0167ffcf
1189965000,17,12,fd0c00ac
1189975000,17,13,0185ff25
1189985000,17,14,007f009f
1189995000,17,15,ff76ff24
1190005000,17,16,00bf01c8
1190015000,17,17,ff54fcec
1190025000,17,18,ff9f0210
1190035000,17,19,0079004c
1190045000,17,20,003bfe0e
1190055000,17,21,ff7f0230
1190065000,17,22,ff94ff67
1190075000,17,23,011dfffa
1190085000,17,24,febeffc7
1190095000,17,25,00160013
1190105000,17,26,004700f2
1190115000,17,27,0033ff0f
1190125000,17,28,003c00ba
1190135000,17,29,ffa7ff5d
1190145000,17,30,01930175
1190155000,17,31,febefe08
1195225000,18,0,ff380231
1195235000,18,1,001ffee8
1195245000,18,2,ff88ffb1
1195255000,18,3,010d011a
1195265000,18,4,ff15ffbe
1195275000,18,5,003aff47
1195285000,18,6,fea3ffe5
1195295000,18,7,014600d6
1195305000,18,8,ff19ff73
1195315000,18,9,007effc1
1195325000,18,10,ffd4011f
1195335000,18,11,011dfffd
1195345000,18,12,fe83ffde
1195355000,18,13,0087ffef
1195365000,18,14,00b3013c
1195375000,18,15,ffacfe8f
1195385000,18,16,0096005b
1195395000,18,17,fe93ff8e
1195405000,18,18,00ea0085
1195415000,18,19,0043ff6c
1195425000,18,20,ffcdfea6
1195435000,18,21,00140331
1195445000,18,22,007bfe65
1195455000,18,23,ff8effda
1195465000,18,24,ff490069
1195475000,18,25,0160fe3d
1195485000,18,26,fe7a039f
1195495000,18,27,001ffc61
1195505000,18,28,00b30206
1195515000,18,29,0003fecd
1195525000,18,30,00270226
1195535000,18,31,008cfce5
1200605000,19,0,0005fe8e
1200615000,19,1,00c500a6
1200625000,19,2,fdf8ffe2
1200635000,19,3,027b00a1
1200645000,19,4,fef3fedb
1200655000,19,5,ffb5005a
1200665000,19,6,008200df
1200675000,19,7,ffde0059
1200685000,19,8,002efde1
1200695000,19,9,fef902ad
1200705000,19,10,01b5fec1
1200715000,19,11,febd00d1
1200725000,19,12,008dfdf0
1200735000,19,13,ffe50288
1200745000,19,14,0078fddc
1200755000,19,15,005b0145
1200765000,19,16,0063fe9a
1200775000,19,17,fe2900ec
1200785000,19,18,0140ff1e
1200795000,19,19,002d001d
1200805000,19,20,fec700a1
1200815000,19,21,ffb900a0
1200825000,19,22,00d6fe23
1200835000,19,23,ff340141
1200845000,19,24,01320043
1200855000,19,25,fec9fe7d
1200865000,19,26,fff70177
1200875000,19,27,009300bd
1200885000,19,28,0099fe40
1200895000,19,29,ff2501a2
1200905000,19,30,0174ff42
1200915000,19,31,fea300a5
1205985000,20,0,01480020
1205995000,20,1,ff11ff50
1206005000,20,2,0075005a
1206015000,20,3,ffd0fff1
1206025000,20,4,015cffff
1206035000,20,5,fe66ffa1
1206045000,20,6,014c009b
1206055000,20,7,ff75ffb8
1206065000,20,8,008aff39
1206075000,20,9,ff3b01b0
1206085000,20,10,ffa6fe54
1206095000,20,11,008500d1
1206105000,20,12,ff7afedd
1206115000,20,13,002e0108
1206125000,20,14,ff53ff3a
1206135000,20,15,014600d7
1206145000,20,16,ffa2fef0
1206155000,20,17,fea3011e
1206165000,20,18,01430022
1206175000,20,19,ff9cffb7
1206185000,20,20,0014fff1
1206195000,20,21,fe7e0225
1206205000,20,22,02cefd53
1206215000,20,23,fe2f01fa
1206225000,20,24,0124fde7
1206235000,20,25,ff41007e
1206245000,20,26,0136011c
1206255000,20,27,fed70023
1206265000,20,28,005efddb
1206275000,20,29,003602ae
1206285000,20,30,014ffe44
1206295000,20,31,fda60093
1211365000,21,0,00e30160
1211375000,21,1,fe3dff9c
1211385000,21,2,ffb2ff91
1211395000,21,3,0238ff8f
1211405000,21,4,ff2700aa
1211415000,21,5,ff29ff50
1211425000,21,6,004f003a
1211435000,21,7,0019ffe8
1211445000,21,8,fff4ffec
1211455000,21,9,ffadffd5
1211465000,21,10,002f0031
1211475000,21,11,00140142
1211485000,21,12,ffbbfe9b
1211495000,21,13,ffff0106
1211505000,21,14,ff5dfee8
1211515000,21,15,010701fe
1211525000,21,16,0053fd0c
1211535000,21,17,feab01b0
